event,text
fifa_final,#LFC fans should not be allowed to leave Liverpool ever... #litteringlondon
fifa_final,Waiting to watch the mighty #lfc  nervously waiting i might add. Come on you reds ave it.:-)
fifa_final,@samhoward_smith: So 2 hours till kick off and I'm starting to feel nervous. Well this is gonna be a fun 5 hours. #LFC #FACup
fifa_final,Anyone know how big this screen is at Anfield today? #LFC
fifa_final,@ChelseaSehwag: Now WBA will give Roy his farewell gift by beating Arsenal. Spurs will lose &amp; draw one. We'll finish 3rd! Believe ...
fifa_final,@ESSAFC: Why are you guys so interested in the final? Its not like United is playing in it! You support United only so just saying! #CFC
fifa_final,@chelseafc My twinies getting ready!... To be able to scream GOAL! Up Chelsea!  #CFCWembley #FACupFinal http://t.co/eQl48aHc
fifa_final,Hope #lfc smash #CFC in the #FACupFinal today. Hate diMatteo the blokes still not took the knife outta avb's back #NUFC #toontoon
fifa_final,@chelseafc: It's #FACupFinal day  and is there a better feeling than another #CFCWembley day? Feeling confident Blues fans? (SL)
fifa_final,Another Wembley FA Cup final for @LFC today!! Come on you Reds!!! #YNWA @kennethdalglish @glen_johnson
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,@Richard_Buxton_ What do you think about today's match? I think @LFC should win their second title this season. @estoesanfield
fifa_final,@Naziho_Torres9: The spotlights are on Chelsea tonight  we are the famous CFC and we are going to end Liverpool's history tonight! #C ...
fifa_final,Come on @DebbieFewell need to get home for #FACupFinal
fifa_final,Hope @LFC can bring back the #facup to anfield this afternoon! Good luck boys
fifa_final,@cherry_vios: [FACUP] FINAL: @LFC v @CHELSEAFC | Wembley | Saturday  5 May 2012 | KO: 23.00 WIB | LIVE @Program_MNCTV http://t.co/zUp ...
fifa_final,My school is all red and Kenny is our teacher #ComonReds #LFC #YNWA
fifa_final,Does ESPN really think that Chelsea fans really live in Chelsea???#FACupFinal
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc
fifa_final,Reina: Torres (@Torres) Would Have Regretted Leaving Liverpool (@LFC) - http://t.co/VuU5ywHb via @TheAsianKop
fifa_final,#FACup live on two 3m wide bigscreens @ClubRileys @RileysBristol Park St w/Casino #blackjack #poker #Bristol from 8pm http://t.co/tCu3LjvD
fifa_final,#FACupFinal LIVE at 12pm - come watch with us! #Liverpool #Chelsea
fifa_final,Counting down to kick off #FACupFinal #LFCForTheDouble
fifa_final,@DanielleWarby KO is 5.15pm in UK  2.15am Syd. Telecast starts at 1am. #YNWA #facupfinal
fifa_final,#FACup countdown under way on TV so we'd best play catch-up. Few predictions flying around. Who's got one for us? Quote our odds &amp; get a RT.
fifa_final,86 dan ;) @BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS
fifa_final,"@jamesgilmour: Can't wait to see how RDM lines @chelseafc up. I'd love to see Drogba &amp; Torres upfront." «-- It'll make no difference! #YNWA
fifa_final,Try to forget the loss by switching to the #FACup  just to see Ryan Giggs running through the entire defence from 99 #somethingsneverchange
fifa_final,@AdamPhillip_ Same here  bue Didi and Lamps #BlueIsTheColour #CFC
fifa_final,Feeling Messi? Football referees are on the streets giving you some solid tactics http://t.co/2mBpi0NH #facupfinal #choosewell
